task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
prose	0	head_base	1.0	OK	192.0	8.1	23.703	0.815	1.407	3.06	maxTokens						80.7	45840.0	2.952	42.18749999999999													1.0	11.796246541999608
prose	2	mid	1.0	OK	192.0	6.22	30.881	0.79	1.236	3.06	maxTokens	0.605	119.0	0.404	5.569	1.613	74.2	39070.0	2.686	32.39583333333333	46.79831932773109	3.3949579831932772	119.0	119.0	3.3949579831932772	0.2469999999999999	2.0756302521008396	47,72	119	0.6050420168067226			1.3028308652913134	9.71678704199985
prose	3	mid	1.0	OK	192.0	6.27	30.645	0.779	1.21	3.02	maxTokens	1.032	94.0	0.573	5.451	2.043	70.0	37087.0	2.729	32.65625	57.98936170212766	6.095744680851063	188.0	188.0	3.0478723404255317	0.24599999999999955	2.61702127659574	34,23,37	94	0.6382978723404256	0.6166666666666667		1.2928743197063663	9.703378459000305
prose	4	mid	1.0	OK	192.0	7.75	24.771	0.762	1.225	3.05	maxTokens	0.99	96.0	0.811	6.696	2.0	66.1	43786.0	3.207	40.364583333333336	69.74999999999999	8.447916666666668	288.0	288.0	2.8159722222222223	0.24300000000000033	2.5312500000000036	42,27,13,14	96	0.5625	0.5	0.5185185185185185	1.0450575876471333	11.15812300000016
prose	0	tail_base	1.0	OK	192.0	7.89	24.334	0.742	1.223	3.1	maxTokens						80.7	45840.0	2.881	41.09375													1.0266211028139898	11.285606417000054
