task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	166.0	7.09	23.404	0.771	4.224	3.15	endOfTurn						84.7	39600.0	2.385	42.71084337349398													1.0	13.545981457999915
image	2	mid	1.0	OK	192.0	6.05	31.721	0.773	4.184	3.16	maxTokens	0.675	114.0	0.425	5.383	1.684	79.0	36266.0	2.591	31.510416666666664	47.219298245614034	3.7280701754385963	114.0	114.0	3.7280701754385963	0.242	2.1228070175438596	37,77	114	0.6754385964912281			1.3553666039993164	12.481166999999914
image	3	mid	1.0	OK	172.0	5.55	31.019	0.737	4.251	3.13	endOfTurn	1.123	81.0	0.558	4.774	2.123	74.6	30641.0	2.527	32.26744186046512	58.93827160493827	6.888888888888889	162.0	162.0	3.4444444444444446	0.21799999999999997	2.6913580246913575	22,27,32	81	0.7283950617283951	0.5423728813559322		1.325371731327978	12.017369250000229
image	4	mid	1.0	OK	192.0	7.1	27.053	0.738	4.202	3.14	maxTokens	1.122	90.0	0.83	6.025	2.133	72.2	38407.0	2.901	36.979166666666664	66.94444444444444	9.222222222222221	270.0	270.0	3.074074074074074	0.24499999999999922	2.7222222222222134	31,34,8,17	90	0.6555555555555556	0.423728813559322	0.68	1.1559135190565715	13.518682749999243
image	0	tail_base	1.0	OK	166.0	7.09	23.421	0.74	4.182	3.18	endOfTurn						84.7	39600.0	2.389	42.71084337349398													1.000726371560417	13.481873665999956
