task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	7.73	24.824	0.8	5.162	6.73	maxTokens						96.9	45840.0	1.521	40.260416666666664													1.0	15.468870457996672
image	2	mid	1.0	OK	192.0	5.64	34.042	0.752	4.288	6.77	maxTokens	0.69	113.0	0.429	4.963	1.699	95.6	35425.0	1.5	29.375	43.92035398230089	3.7964601769911503	113.0	113.0	3.7964601769911503	0.24799999999999933	2.1946902654867197	35,78	113	0.6902654867256637			1.3713341927167257	12.446039957998437
image	3	mid	1.0	OK	192.0	5.71	33.627	0.738	4.297	6.73	maxTokens	1.054	93.0	0.615	4.845	2.065	95.3	34484.0	1.546	29.739583333333332	52.096774193548384	6.612903225806451	186.0	186.0	3.3064516129032255	0.25	2.688172043010753	30,28,35	93	0.6774193548387096	0.5555555555555556		1.3546165001611343	12.473681875002512
image	4	mid	1.0	OK	192.0	6.0	32.003	0.732	4.297	6.77	maxTokens	1.221	86.0	0.805	4.947	2.233	95.1	35608.0	1.588	31.25	57.52325581395349	9.36046511627907	258.0	258.0	3.12015503875969	0.24800000000000022	2.883720930232561	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.2891959394134707	12.725887874999898
image	0	tail_base	1.0	OK	192.0	7.87	24.39	0.732	4.299	6.75	maxTokens						96.9	45840.0	1.64	40.989583333333336													0.9825169191105382	14.645235500000126
