task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.12	24.73	0.786	4.154	4.0	endOfTurn						90.7	42000.0	1.968	40.45454545454546													1.0	13.708430250000674
image	2	mid	1.0	OK	192.0	5.97	32.176	0.783	4.127	4.02	maxTokens	0.579	121.0	0.451	5.267	1.587	88.0	38675.0	2.102	31.09375	43.528925619834716	3.7272727272727275	121.0	121.0	3.7272727272727275	0.2519999999999998	2.082644628099172	51,70	121	0.5785123966942148			1.3010917913465427	12.511408375001338
image	3	mid	1.0	OK	176.0	5.54	31.764	0.745	4.138	4.05	endOfTurn	0.923	91.0	0.612	4.703	1.934	85.5	34395.0	2.154	31.47727272727273	51.681318681318686	6.725274725274725	182.0	182.0	3.3626373626373627	0.22499999999999964	2.4725274725274686	36,26,29	91	0.6043956043956044	0.5272727272727272		1.2844318641326324	12.057917000001908
image	4	mid	1.0	OK	176.0	5.75	30.6	0.736	4.139	4.02	endOfTurn	1.228	79.0	0.755	4.773	2.228	83.9	34105.0	2.332	32.67045454545455	60.41772151898734	9.556962025316455	237.0	237.0	3.1856540084388185	0.22200000000000042	2.810126582278486	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.2373635260816822	12.264062999998714
image	0	tail_base	1.0	OK	176.0	7.14	24.666	0.767	4.123	4.03	endOfTurn						90.7	42000.0	1.958	40.56818181818181													0.9974120501415286	13.641441166000732
