task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	7.77	24.712	0.735	4.24	4.94	maxTokens						94.3	45840.0	1.916	40.46875													1.0	14.339928583998699
image	2	mid	1.0	OK	192.0	5.51	34.853	0.768	4.203	4.9	maxTokens	0.69	113.0	0.417	4.845	1.699	92.1	35425.0	1.709	28.697916666666668	42.87610619469026	3.6902654867256635	113.0	113.0	3.6902654867256635	0.24800000000000022	2.1946902654867277	35,78	113	0.6902654867256637			1.4103674328261575	12.104201207999722
image	3	mid	1.0	OK	192.0	5.46	35.191	0.738	4.216	4.92	maxTokens	1.054	93.0	0.609	4.604	2.065	91.2	34484.0	1.744	28.4375	49.505376344086024	6.548387096774194	186.0	186.0	3.274193548387097	0.2469999999999999	2.655913978494622	30,28,35	93	0.6774193548387096	0.5555555555555556		1.4240449983813532	12.00963700000284
image	4	mid	1.0	OK	192.0	5.86	32.789	0.747	4.209	4.93	maxTokens	1.221	86.0	0.797	4.814	2.233	90.2	35608.0	1.907	30.520833333333332	55.97674418604652	9.267441860465118	258.0	258.0	3.0891472868217056	0.24900000000000055	2.895348837209309	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.326845257364843	12.437458792002872
image	0	tail_base	1.0	OK	192.0	7.61	25.223	0.734	4.215	4.93	maxTokens						94.3	45840.0	1.797	39.635416666666664													1.0206782130139203	14.158569083992916
