task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.02	25.084	0.743	4.224	6.75	endOfTurn						96.6	42000.0	1.47	39.88636363636363													1.0	13.726640207998571
image	2	mid	1.0	OK	192.0	5.99	32.047	0.733	4.238	6.77	maxTokens	0.579	121.0	0.452	5.291	1.587	96.0	38675.0	1.533	31.197916666666668	43.727272727272734	3.7355371900826446	121.0	121.0	3.7355371900826446	0.2469999999999999	2.0413223140495855	51,70	121	0.5785123966942148			1.277587306649657	12.722521374998905
image	3	mid	1.0	OK	176.0	5.56	31.68	0.753	4.226	6.76	endOfTurn	0.923	91.0	0.605	4.727	1.934	95.1	34395.0	1.538	31.590909090909086	51.94505494505495	6.648351648351648	182.0	182.0	3.324175824175824	0.22799999999999976	2.505494505494503	36,26,29	91	0.6043956043956044	0.5272727272727272		1.2629564662733217	12.28932787499798
image	4	mid	1.0	OK	176.0	5.79	30.405	0.738	4.222	6.79	endOfTurn	1.228	79.0	0.759	4.8	2.228	94.5	34105.0	1.663	32.89772727272727	60.75949367088607	9.60759493670886	237.0	237.0	3.20253164556962	0.23099999999999987	2.924050632911391	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.2121272524318292	12.485304166002607
image	0	tail_base	1.0	OK	176.0	7.08	24.874	0.734	4.188	6.71	endOfTurn						96.6	42000.0	1.534	40.22727272727273													0.9916281294849306	13.736327749997145
