task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	8.15	23.569	0.745	4.288	6.76	maxTokens						96.9	45840.0	1.722	42.44791666666667													1.0	14.938646417002019
image	2	mid	1.0	OK	192.0	7.05	27.218	0.788	4.436	6.78	maxTokens	0.69	113.0	0.568	6.158	1.699	95.6	35425.0	1.678	36.71875	54.495575221238944	5.0265486725663715	113.0	113.0	5.0265486725663715	0.32399999999999984	2.8672566371681403	35,78	113	0.6902654867256637			1.154822011964869	14.073416958002781
image	3	mid	1.0	OK	192.0	7.25	26.488	0.787	4.46	6.77	maxTokens	1.054	93.0	0.857	6.075	2.065	95.3	34484.0	1.762	37.760416666666664	65.3225806451613	9.21505376344086	186.0	186.0	4.60752688172043	0.3179999999999996	3.419354838709673	30,28,35	93	0.6774193548387096	0.5555555555555556		1.123849123849124	14.273219000002427
image	4	mid	1.0	OK	192.0	5.96	32.225	0.784	4.324	6.74	maxTokens	1.221	86.0	0.807	4.916	2.233	95.1	35608.0	1.592	31.041666666666664	57.162790697674424	9.38372093023256	258.0	258.0	3.1279069767441863	0.2369999999999992	2.755813953488363	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.367262081547796	12.788485915996716
image	0	tail_base	1.0	OK	192.0	7.54	25.452	0.761	4.305	6.7	maxTokens						96.9	45840.0	1.517	39.27083333333333													1.07989307989308	14.4140163330012
