task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.34	23.968	0.739	4.238	6.77	endOfTurn						96.6	42000.0	1.595	41.70454545454545													1.0	14.013651249995746
image	2	mid	1.0	OK	192.0	5.97	32.172	0.744	4.215	6.77	maxTokens	0.579	121.0	0.452	5.252	1.587	96.0	38675.0	1.502	31.09375	43.40495867768595	3.7355371900826446	121.0	121.0	3.7355371900826446	0.266	2.1983471074380168	51,70	121	0.5785123966942148			1.342289719626168	12.652913666999666
image	3	mid	1.0	OK	176.0	5.73	30.725	0.737	4.226	6.77	endOfTurn	0.923	91.0	0.612	4.875	1.934	95.1	34395.0	1.572	32.55681818181819	53.57142857142857	6.725274725274725	182.0	182.0	3.3626373626373627	0.24300000000000033	2.670329670329674	36,26,29	91	0.6043956043956044	0.5272727272727272		1.281917556742323	12.393934375002573
image	4	mid	1.0	OK	176.0	5.77	30.513	0.739	4.277	6.77	endOfTurn	1.228	79.0	0.745	4.801	2.228	94.5	34105.0	1.667	32.78409090909091	60.77215189873418	9.430379746835444	237.0	237.0	3.1434599156118144	0.2239999999999993	2.8354430379746747	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.2730724299065421	12.502663166997081
image	0	tail_base	1.0	OK	176.0	7.26	24.248	0.734	4.236	6.71	endOfTurn						96.6	42000.0	1.562	41.25													1.0116822429906542	14.061900833999971
