task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.28	24.179	0.74	4.259	6.77	endOfTurn						96.6	42000.0	1.635	41.36363636363637													1.0	14.002349334004975
image	2	mid	1.0	OK	192.0	6.05	31.723	0.746	4.224	6.78	maxTokens	0.579	121.0	0.45	5.342	1.587	96.0	38675.0	1.568	31.510416666666664	44.14876033057851	3.71900826446281	121.0	121.0	3.71900826446281	0.258	2.1322314049586777	51,70	121	0.5785123966942148			1.3120062864469169	12.781541459000437
image	3	mid	1.0	OK	176.0	5.67	31.046	0.744	4.241	6.74	endOfTurn	0.923	91.0	0.612	4.825	1.934	95.1	34395.0	1.534	32.21590909090909	53.02197802197802	6.725274725274725	182.0	182.0	3.3626373626373627	0.23299999999999965	2.5604395604395567	36,26,29	91	0.6043956043956044	0.5272727272727272		1.2840067827453576	12.403630584005441
image	4	mid	1.0	OK	176.0	5.81	30.311	0.737	4.233	6.77	endOfTurn	1.228	79.0	0.76	4.807	2.228	94.5	34105.0	1.677	33.01136363636364	60.84810126582279	9.620253164556962	237.0	237.0	3.206751054852321	0.24299999999999944	3.0759493670886005	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.253608503246619	12.491077624996251
image	0	tail_base	1.0	OK	176.0	7.33	24.018	0.747	4.221	6.72	endOfTurn						96.6	42000.0	1.6	41.64772727272727													0.9933413292526574	14.0328287500015
