task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	7.55	25.439	0.782	4.192	4.02	maxTokens						91.6	45840.0	1.915	39.322916666666664													1.0	14.083604207997269
image	2	mid	1.0	OK	192.0	5.46	35.149	0.734	4.172	4.04	maxTokens	0.69	113.0	0.422	4.793	1.699	88.2	35425.0	1.809	28.4375	42.415929203539825	3.7345132743362828	113.0	113.0	3.7345132743362828	0.2450000000000001	2.168141592920355	35,78	113	0.6902654867256637			1.3816973937654782	11.930290166004852
image	3	mid	1.0	OK	192.0	5.45	35.261	0.74	4.165	4.04	maxTokens	1.054	93.0	0.626	4.567	2.065	86.8	34484.0	1.898	28.385416666666668	49.10752688172043	6.731182795698925	186.0	186.0	3.3655913978494625	0.2569999999999997	2.76344086021505	30,28,35	93	0.6774193548387096	0.5555555555555556		1.3861000825504148	11.91445012499753
image	4	mid	1.0	OK	192.0	5.82	32.985	0.755	4.165	4.02	maxTokens	1.221	86.0	0.807	4.767	2.233	85.2	35608.0	2.054	30.312500000000004	55.43023255813954	9.38372093023256	258.0	258.0	3.1279069767441863	0.24599999999999955	2.8604651162790646	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.2966311568850977	12.321134249999886
image	0	tail_base	1.0	OK	192.0	7.54	25.467	0.737	4.165	4.04	maxTokens						91.6	45840.0	1.914	39.27083333333333													1.001100672196234	14.012450250003894
