task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	7.9	24.304	0.744	4.225	3.16	maxTokens						86.4	45840.0	2.407	41.145833333333336													1.0	14.4151017089971
image	2	mid	1.0	OK	192.0	5.78	33.22	0.742	4.12	3.17	maxTokens	0.69	113.0	0.415	5.115	1.699	80.4	35425.0	2.231	30.104166666666668	45.26548672566372	3.6725663716814156	113.0	113.0	3.6725663716814156	0.25	2.2123893805309733	35,78	113	0.6902654867256637			1.3668531928900594	12.209673500001372
image	3	mid	1.0	OK	192.0	5.81	33.042	0.76	4.125	3.13	maxTokens	1.054	93.0	0.609	4.959	2.065	77.7	34484.0	2.238	30.260416666666664	53.32258064516129	6.548387096774194	186.0	186.0	3.274193548387097	0.242	2.6021505376344085	30,28,35	93	0.6774193548387096	0.5555555555555556		1.3595292955892035	12.238737708001281
image	4	mid	1.0	OK	192.0	6.45	29.77	0.743	4.152	3.12	maxTokens	1.221	86.0	0.791	5.412	2.233	74.2	35608.0	2.412	33.59375	62.93023255813954	9.197674418604652	258.0	258.0	3.065891472868217	0.2469999999999999	2.872093023255813	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.2249012508229098	12.89597325000068
image	0	tail_base	1.0	OK	192.0	7.89	24.331	0.758	4.14	3.12	maxTokens						86.4	45840.0	2.398	41.09375													1.0011109282422648	14.34628199999861
