task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.41	23.742	0.817	4.191	3.15	endOfTurn						85.2	42000.0	2.365	42.102272727272734													1.0	14.00990470800025
image	2	mid	1.0	OK	192.0	6.19	31.023	0.775	4.114	3.12	maxTokens	0.579	121.0	0.452	5.483	1.587	80.3	38675.0	2.451	32.239583333333336	45.31404958677686	3.7355371900826446	121.0	121.0	3.7355371900826446	0.2550000000000008	2.107438016528932	51,70	121	0.5785123966942148			1.3066717210007581	12.645201416002237
image	3	mid	1.0	OK	176.0	5.84	30.136	0.756	4.058	3.15	endOfTurn	0.923	91.0	0.611	5.004	1.934	76.1	34395.0	2.36	33.18181818181818	54.989010989010985	6.714285714285714	182.0	182.0	3.357142857142857	0.22500000000000053	2.4725274725274784	36,26,29	91	0.6043956043956044	0.5272727272727272		1.269311768174543	12.233677624997654
image	4	mid	1.0	OK	176.0	6.31	27.889	0.755	4.065	3.16	endOfTurn	1.228	79.0	0.761	5.319	2.228	72.2	34105.0	2.488	35.85227272727273	67.32911392405063	9.632911392405065	237.0	237.0	3.210970464135021	0.22999999999999954	2.9113924050632853	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.1746693623115154	12.71587662499951
image	0	tail_base	1.0	OK	176.0	7.34	23.98	0.796	4.108	3.12	endOfTurn						85.2	42000.0	2.394	41.70454545454545													1.0100244292814422	13.829823125000985
