task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	176.0	7.22	24.371	0.754	4.262	4.94	endOfTurn						93.7	42000.0	1.843	41.02272727272727													1.0	13.901644749999832
image	2	mid	1.0	OK	192.0	5.82	33.011	0.736	4.173	5.0	maxTokens	0.579	121.0	0.439	5.128	1.587	92.1	38675.0	1.742	30.312500000000004	42.3801652892562	3.628099173553719	121.0	121.0	3.628099173553719	0.2530000000000001	2.090909090909092	51,70	121	0.5785123966942148			1.3545197160559683	12.41204362499775
image	3	mid	1.0	OK	176.0	5.43	32.439	0.735	4.149	4.97	endOfTurn	0.923	91.0	0.605	4.592	1.934	90.4	34395.0	1.811	30.852272727272723	50.46153846153846	6.648351648351648	182.0	182.0	3.324175824175824	0.23299999999999965	2.5604395604395567	36,26,29	91	0.6043956043956044	0.5272727272727272		1.3310491978170778	11.99475908399836
image	4	mid	1.0	OK	176.0	5.55	31.718	0.768	4.163	5.0	endOfTurn	1.228	79.0	0.75	4.57	2.228	89.3	34105.0	1.946	31.534090909090907	57.848101265822784	9.49367088607595	237.0	237.0	3.1645569620253164	0.22999999999999954	2.9113924050632853	28,23,10,18	79	0.6455696202531646	0.5490196078431373	0.6428571428571429	1.3014648557712036	12.160352208004042
image	0	tail_base	1.0	OK	176.0	7.1	24.802	0.748	4.177	4.95	endOfTurn						93.7	42000.0	1.758	40.340909090909086													1.0176849534282548	13.70265241600282
