task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
image	0	head_base	1.0	OK	192.0	8.0	24.003	0.74	4.293	6.71	maxTokens						96.9	45840.0	1.734	41.666666666666664													1.0	14.740413916995749
image	2	mid	1.0	OK	192.0	5.79	33.147	0.744	4.29	6.77	maxTokens	0.69	113.0	0.434	5.095	1.699	95.6	35425.0	1.574	30.15625	45.08849557522124	3.84070796460177	113.0	113.0	3.84070796460177	0.2610000000000001	2.3097345132743374	35,78	113	0.6902654867256637			1.380952380952381	12.553630417001841
image	3	mid	1.0	OK	192.0	5.75	33.383	0.74	4.308	6.77	maxTokens	1.054	93.0	0.626	4.861	2.065	95.3	34484.0	1.539	29.947916666666668	52.26881720430107	6.731182795698925	186.0	186.0	3.3655913978494625	0.2629999999999999	2.8279569892473106	30,28,35	93	0.6774193548387096	0.5555555555555556		1.3907844852726743	12.518657583997992
image	4	mid	1.0	OK	192.0	6.18	31.078	0.741	4.299	6.74	maxTokens	1.221	86.0	0.825	5.093	2.233	95.1	35608.0	1.662	32.1875	59.22093023255814	9.593023255813952	258.0	258.0	3.197674418604651	0.26199999999999957	3.0465116279069715	29,27,12,18	86	0.6627906976744186	0.5263157894736842	0.6	1.2947548223138774	12.914067124998837
image	0	tail_base	1.0	OK	192.0	8.01	23.967	0.742	4.296	6.7	maxTokens						96.9	45840.0	1.747	41.71875													0.9985001874765653	14.771828999997524
